Date,Weekly Earnings(£),Annual Growth (%)
01 October 2020,563,3.8
01 November 2020,568,4.7
01 December 2020,570,5.2
01 January 2021,570,4.3
01 February 2021,567,3.9
01 March 2021,552,4.3
01 April 2021,576,8.8
01 May 2021,581,9.3
01 June 2021,577,8.6
01 July 2021,581,7.3
01 August 2021,584,5.7
01 September 2021,586,4.9
01 October 2021,588,4.4
01 November 2021,587,3.4
01 December 2021,603,5.9
01 January 2022,599,5.1
01 February 2022,600,5.7
01 March 2022,608,10.1
01 April 2022,604,4.8
01 May 2022,606,4.3
01 June 2022,613,6.2
01 July 2022,614,5.8
01 August 2022,619,6.1
01 September 2022,621,6
01 October 2022,627,6.6
01 November 2022,631,7.4
01 December 2022,633,5
01 January 2023,637,6.2
01 February 2023,641,6.9
01 March 2023,643,5.7
01 April 2023,650,7.6
01 May 2023,654,7.9
01 June 2023,668,8.9
01 July 2023,663,8
01 August 2023,664,7.1
01 September 2023,670,7.9
01 October 2023,665,6
01 November 2023,668,5.9
01 December 2023,670,5.8
01 January 2024,674,5.8
01 February 2024,679,5.8
01 March 2024,684,6.4
01 April 2024,686,5.6
01 May 2024,687,5.1
01 June 2024,689,3.1
01 July 2024,690,4.1
01 August 2024,694,4.6
01 September 2024,701,4.6
01 October 2024,708,6.6
01 November 2024,705,5.5
01 December 2024,712,6.3
01 January 2025,711,5.6
